career_talk_id,company_name,meet_name,meet_time,meet_day,address,room,company_property,scale,industry_category,city_name,professionals,career_type,a_meet_end_time,a_meet_time,career_state,company_id,hotcount,is_above_bachelor_degree,is_above_college_degree,is_above_doctor_degree,is_above_master_degree,is_yun,meet_day_d,meet_day_m,meet_type,overdue,recruit_type,school_name,view_count
609618,泸州朴乐教育科技有限公司,朴乐泸州翰林学校2024届校园招聘,18:00,2023-12-28,线上专场宣讲会,,其他企业（含民营企业等）,50-150人,教育,泸州市,不限专业,,,1703757600,0,517651,0,1,0,0,0,1,28,12,1,0,,,3393
609415,重庆市经贸中等专业学校,重庆市经贸中等专业学校教师招聘,10:30,2023-12-26,学生活动中心A101,,中等、初等教育单位,500-1000人,教育,重庆市,不限专业,,,1703557800,0,510923,0,1,0,0,0,0,26,12,0,0,,,3296
609267,宁波力劲塑机智造有限公司,宁波力劲塑机智造有限公司空中宣讲会,15:50,2023-12-25,线上专场宣讲会,,外商投资企业,1000-5000人,制造业,杭州市,高分子材料与工程、机械制造及其自动化、机械设计制造及其自动化、车辆工程、人力资源管理、不限专业,,,1703490600,0,82815,4,1,0,0,0,1,25,12,1,0,,,4738
609085,中国化学工程第七建设有限公司,中国化学工程第七建设有限公司海外分公司 2024届校园招聘,16:00,2023-12-14,线上专场宣讲会,,国有企业,1000-5000人,建筑业,成都市,不限专业,,,1702540800,0,78426,31,1,0,0,0,1,14,12,2,0,,,4270
608884,深圳慧通商务有限公司,华为慧通2024届智选车校园招聘专场宣讲会,14:00,2023-12-14,学生活动中心A101,,其他企业（含民营企业等）,5000-10000人,信息传输、软件和信息技术服务业,深圳市,不限专业,,,1702533600,0,164152,17,1,0,0,0,0,14,12,0,0,,,4415
608865,重庆市渝西快线建设运营有限公司,重庆璧铜线维保人员校园招聘会,14:00,2023-12-13,学生活动中心A101,,国有企业,500-1000人,交通运输、仓储和邮政业,重庆市,"物联网工程,电子信息,网络工程,计算机技术,计算机科学与技术,信息与通信工程,电子信息工程,通信工程,信息管理与信息系统,电气工程及其自动化,自动化,电气工程",,,1702447200,0,582811,0,1,0,0,0,0,13,12,0,0,,,3906
608743,南充三环电子有限公司,三环集团2024届管培生招聘,14:00,2023-12-12,学生活动中心A101,,其他企业（含民营企业等）,5000-10000人,制造业,南充市,不限专业,,,1702360800,0,207180,1,0,1,0,0,0,12,12,0,0,,,3869
608762,重庆红江机械有限责任公司,重庆红江机械有限责任公司,16:00,2023-12-08,学生活动中心A101,,国有企业,1000-5000人,制造业,永川,"电子信息,计算机科学与技术,电子信息工程,机械电子工程,机械设计制造及其自动化,测控技术与仪器,材料成型及控制工程,能源与动力工程",,,1702022400,0,306578,0,0,0,0,1,0,08,12,0,0,,,3536
608493,中国人民财产保险股份有限公司重庆市分公司,中国人民财产保险股份有限公司重庆市分公司,14:00,2023-12-07,学生活动中心A201,,国有企业,500-1000人,金融业,渝中,"机械设计制造及其自动化,汽车服务工程,电气工程及其自动化,车辆工程,应用化学,测控技术与仪器,材料与化工,材料学,材料成型及控制工程,材料科学与工程,自动化,工业工程,机械,信息管理与信息系统,电子信息,网络工程,计算机技术,计算机科学与技术,会计,会计学,财务管理,企业管理,工商管理,市场营销,技术经济及管理,管理科学与工程,行政管理,金融学,金融工程,应用统计,应用经济学,经济学,应用统计学",,1701934200,1701928800,0,170111,0,1,0,0,0,0,07,12,0,0,,,3163
608566,中国葛洲坝集团易普力股份有限公司,中国能建易普力公司2024届毕业生校园招聘,16:00,2023-12-06,学生活动中心A201,,国有企业,5000-10000人,采矿业,长沙市,"财务管理,机械工程,机械电子工程,机械设计制造及其自动化,测控技术与仪器",,,1701849600,0,83373,16,1,0,0,0,0,06,12,0,0,,,3082
608163,莱克电气股份有限公司,“大国品牌”-莱克集团2024校园招聘,14:00,2023-12-06,学生活动中心A101,,其他企业（含民营企业等）,5000-10000人,制造业,苏州市,"机械设计制造及其自动化,机械电子工程,机械工艺技术,机械工艺技术专业（中职教师）,机械工程,电气工程及其自动化,,电子信息工程,自动化,机械制造及其自动化",,,1701842400,0,69275,18,1,0,0,0,0,06,12,0,0,,,3392
607035,重庆富川机电有限公司,重庆富川（古圣）机电校园招聘宣讲,14:00,2023-12-05,学生活动中心A101,,其他企业（含民营企业等）,500-1000人,制造业,九龙半岛,"机器人工程,机械,机械工程,机械电子工程,机械设计制造及其自动化,测控技术与仪器",,,1701756000,0,174820,0,1,0,0,0,0,05,12,0,0,,,5023
607285,中国化学工程第七建设有限公司,中国化学工程第七建设有限公司海外分公司 2024届校园招聘,15:00,2023-12-01,线上专场宣讲会,,国有企业,1000-5000人,建筑业,成都市,"应用化学,过程装备与控制工程,化学工程与工艺,化学工程与技术,材料与化工,不限专业,电气工程及其自动化,电子信息工程,电气工程",,,1701414000,0,78426,31,0,0,0,1,1,01,12,2,0,,,3903
608188,重庆信息通信研究院,中国信通院西部分院2024届校园招聘-重庆理工大学专场宣讲会,14:00,2023-12-01,学生活动中心A101,,科研设计单位,500-1000人,科学研究和技术服务业,重庆市,"电子信息,网络工程,计算机技术,计算机科学与技术,电子信息工程,通信工程,信息管理与信息系统,数据科学与大数据技术,物联网工程,电子与计算机工程,测试,信息与计算科学,测控技术与仪器,光电信息科学与工程,信息工程,工商管理,管理科学与工程,电子信息科学与技术,自动化,网络空间安全",,,1701410400,0,557798,0,1,0,0,0,0,01,12,0,0,,,3285
